Epoch 1; static iou: 0.99823314; static pre: 0.99829644; static rec: 0.9999364; moving iou: 0.49368995; moving pre: 0.9639541; moving rec: 0.50297534; mean iou: 0.74596155
Epoch 3; static iou: 0.9984667; static pre: 0.99872255; static rec: 0.9997435; moving iou: 0.58368176; moving pre: 0.8932874; moving rec: 0.62743056; mean iou: 0.7910742
Epoch 5; static iou: 0.9985699; static pre: 0.9986874; static rec: 0.99988216; moving iou: 0.5966629; moving pre: 0.94690794; moving rec: 0.61731464; mean iou: 0.79761636
Epoch 7; static iou: 0.99847317; static pre: 0.99851435; static rec: 0.99995863; moving iou: 0.5601167; moving pre: 0.978741; moving rec: 0.5670152; mean iou: 0.77929497
Epoch 9; static iou: 0.99850374; static pre: 0.99871105; static rec: 0.9997921; moving iou: 0.58881205; moving pre: 0.91143954; moving rec: 0.62454355; mean iou: 0.7936579
Epoch 11; static iou: 0.99893963; static pre: 0.9990473; static rec: 0.9998922; moving iou: 0.7005977; moving pre: 0.95805544; moving rec: 0.722767; mean iou: 0.84976864
Epoch 13; static iou: 0.99885046; static pre: 0.9989962; static rec: 0.999854; moving iou: 0.6786331; moving pre: 0.9429789; moving rec: 0.7076734; mean iou: 0.8387418
Epoch 15; static iou: 0.99903923; static pre: 0.9992752; static rec: 0.9997637; moving iou: 0.73874724; moving pre: 0.91995686; moving rec: 0.7894931; mean iou: 0.86889327
Epoch 17; static iou: 0.99895304; static pre: 0.9990934; static rec: 0.99985945; moving iou: 0.70764107; moving pre: 0.94735855; moving rec: 0.7366053; mean iou: 0.85329705
Epoch 19; static iou: 0.99890786; static pre: 0.9992604; static rec: 0.99964684; moving iou: 0.7119226; moving pre: 0.8842203; moving rec: 0.7851097; mean iou: 0.8554152
Epoch 21; static iou: 0.99922884; static pre: 0.99933124; static rec: 0.99989736; moving iou: 0.7823341; moving pre: 0.96431875; moving rec: 0.80565584; mean iou: 0.89078146
Epoch 23; static iou: 0.9991861; static pre: 0.9992885; static rec: 0.9998974; moving iou: 0.77024984; moving pre: 0.9636685; moving rec: 0.7932863; mean iou: 0.88471794
Epoch 25; static iou: 0.9992358; static pre: 0.9993577; static rec: 0.99987787; moving iou: 0.7856301; moving pre: 0.9582738; moving rec: 0.8134575; mean iou: 0.8924329
Epoch 27; static iou: 0.9992031; static pre: 0.99932337; static rec: 0.99987954; moving iou: 0.7755923; moving pre: 0.95776457; moving rec: 0.8030585; mean iou: 0.8873977
Epoch 29; static iou: 0.99921685; static pre: 0.9993192; static rec: 0.99989754; moving iou: 0.7786062; moving pre: 0.96382475; moving rec: 0.8020447; mean iou: 0.8889115
Epoch 31; static iou: 0.9992508; static pre: 0.999388; static rec: 0.9998627; moving iou: 0.7907913; moving pre: 0.95360017; moving rec: 0.822437; mean iou: 0.8950211
Epoch 33; static iou: 0.9992267; static pre: 0.9993383; static rec: 0.99988824; moving iou: 0.78227013; moving pre: 0.9611902; moving rec: 0.80778444; mean iou: 0.8907484
Epoch 35; static iou: 0.999211; static pre: 0.99931484; static rec: 0.999896; moving iou: 0.77715796; moving pre: 0.9633756; moving rec: 0.80081815; mean iou: 0.8881845
Epoch 37; static iou: 0.9992159; static pre: 0.9993236; static rec: 0.9998921; moving iou: 0.7786673; moving pre: 0.96216995; moving rec: 0.80325925; mean iou: 0.8889416
Epoch 39; static iou: 0.99921685; static pre: 0.99931353; static rec: 0.9999032; moving iou: 0.7784808; moving pre: 0.9656005; moving rec: 0.80068654; mean iou: 0.88884884
Epoch 41; static iou: 0.99921167; static pre: 0.9993134; static rec: 0.9998982; moving iou: 0.7771542; moving pre: 0.96418166; moving rec: 0.80025804; mean iou: 0.88818294
Epoch 43; static iou: 0.9992336; static pre: 0.99934286; static rec: 0.99989057; moving iou: 0.7843818; moving pre: 0.96206933; moving rec: 0.809413; mean iou: 0.8918077
Epoch 45; static iou: 0.99923503; static pre: 0.99933684; static rec: 0.999898; moving iou: 0.7838226; moving pre: 0.96447825; moving rec: 0.80712277; mean iou: 0.89152884
Epoch 47; static iou: 0.9992284; static pre: 0.9993222; static rec: 0.9999062; moving iou: 0.7812877; moving pre: 0.96686023; moving rec: 0.8027857; mean iou: 0.8902581
